Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"SF_MOSI","OffPage","core","1","SCHEMATIC1","U1.62","870","10","1D","[2]"
"SF_MOSI","OffPage","misc","2","SCHEMATIC1","U2.5","890","40","1D","[1]"
"D15","OffPage","core","1","SCHEMATIC1","U1.17","870","460","1B","[2]"
"D15","OffPage","misc","2","SCHEMATIC1","J3.29","890","320","1C","[1]"
"D19","OffPage","core","1","SCHEMATIC1","U1.19","870","450","1B","[2]"
"D19","OffPage","misc","2","SCHEMATIC1","J3.30","890","310","1C","[1]"
"D20","OffPage","core","1","SCHEMATIC1","U1.21","870","440","1B","[2]"
"D20","OffPage","misc","2","SCHEMATIC1","J3.31","890","300","1C","[1]"
"D21","OffPage","core","1","SCHEMATIC1","U1.23","870","430","1B","[2]"
"D21","OffPage","misc","2","SCHEMATIC1","J3.32","890","290","1C","[1]"
"D22","OffPage","core","1","SCHEMATIC1","U1.24","870","420","1B","[2]"
"D22","OffPage","misc","2","SCHEMATIC1","J3.33","890","280","1C","[1]"
"D23","OffPage","core","1","SCHEMATIC1","U1.25","870","410","1B","[2]"
"D23","OffPage","misc","2","SCHEMATIC1","J3.34","890","270","1C","[1]"
"SF_CS","OffPage","core","1","SCHEMATIC1","U1.60","870","30","1D","[2]"
"SF_CS","OffPage","misc","2","SCHEMATIC1","R13.1,U2.1","890","60","1D","[1]"
"SF_CLK","OffPage","core","1","SCHEMATIC1","U1.59","870","40","1D","[2]"
"SF_CLK","OffPage","misc","2","SCHEMATIC1","U2.6","890","70","1D","[1]"
"BL","OffPage","core","1","SCHEMATIC1","U1.43","870","570","1A","[2]"
"BL","OffPage","misc","2","SCHEMATIC1","Q1.1,R6.1","890","430","1B","[1]"
"HSYNC","OffPage","core","1","SCHEMATIC1","U1.28","870","400","1B","[2]"
"HSYNC","OffPage","misc","2","SCHEMATIC1","J3.16","890","260","1C","[1]"
"LCD_CLK","OffPage","core","1","SCHEMATIC1","U1.26","870","390","1B","[2]"
"LCD_CLK","OffPage","misc","2","SCHEMATIC1","J3.15","890","250","1C","[1]"
"DE","OffPage","core","1","SCHEMATIC1","U1.27","870","380","1B","[2]"
"DE","OffPage","misc","2","SCHEMATIC1","J3.14","890","240","1C","[1]"
"RESET","OffPage","core","1","SCHEMATIC1","C3.1,R3.1,SW1.3,U1.70","870","580","1A","[2]"
"RESET","OffPage","misc","2","SCHEMATIC1","J3.35","890","440","1B","[1]"
"USB_DET","OffPage","core","1","SCHEMATIC1","U1.46","870","90","1D","[2]"
"USB_DET","OffPage","misc","2","SCHEMATIC1","R10.2","890","120","1D","[1]"
"SVREF","OffPage","core","1","SCHEMATIC1","U1.33","870","240","1C","[3]"
"SVREF","OffPage","power","3","SCHEMATIC1","C29.2,C33.1,C34.1,R32.1,R35.2","860","510","1B","[1]"
"LRADC","OffPage","core","1","SCHEMATIC1","U1.79","870","300","1C","[2]"
"LRADC","OffPage","misc","2","SCHEMATIC1","C6.1,R16.2,R18.1,SW2.4","890","460","1B","[1]"
"VRA1","OffPage","core","1","SCHEMATIC1","U1.81","870","200","1C","[3]"
"VRA1","OffPage","power","3","SCHEMATIC1","C30.1,R33.2","860","470","1B","[1]"
"D13","OffPage","core","1","SCHEMATIC1","U1.15","870","480","1B","[2]"
"D13","OffPage","misc","2","SCHEMATIC1","J3.27","890","340","1C","[1]"
"D14","OffPage","core","1","SCHEMATIC1","U1.16","870","470","1B","[2]"
"D14","OffPage","misc","2","SCHEMATIC1","J3.28","890","330","1C","[1]"
"D5","OffPage","core","1","SCHEMATIC1","U1.9","870","540","1A","[2]"
"D5","OffPage","misc","2","SCHEMATIC1","J3.20","890","400","1B","[1]"
"D10","OffPage","core","1","SCHEMATIC1","U1.12","870","510","1B","[2]"
"D10","OffPage","misc","2","SCHEMATIC1","J3.23","890","370","1B","[1]"
"D7","OffPage","core","1","SCHEMATIC1","U1.11","870","520","1B","[2]"
"D7","OffPage","misc","2","SCHEMATIC1","J3.22","890","380","1B","[1]"
"D11","OffPage","core","1","SCHEMATIC1","U1.13","870","500","1B","[2]"
"D11","OffPage","misc","2","SCHEMATIC1","J3.24","890","360","1B","[1]"
"TWI0_SDA","OffPage","core","1","SCHEMATIC1","U1.37","870","260","1C","[2]"
"TWI0_SDA","OffPage","misc","2","SCHEMATIC1","R15.1,U3.5","890","0","1D","[1]"
"D12","OffPage","core","1","SCHEMATIC1","U1.14","870","490","1B","[2]"
"D12","OffPage","misc","2","SCHEMATIC1","J3.25","890","350","1B","[1]"
"TWI0_SCK","OffPage","core","1","SCHEMATIC1","U1.38","870","270","1C","[2]"
"TWI0_SCK","OffPage","misc","2","SCHEMATIC1","R14.1,U3.6","890","10","1D","[1]"
"D6","OffPage","core","1","SCHEMATIC1","U1.10","870","530","1A","[2]"
"D6","OffPage","misc","2","SCHEMATIC1","J3.21","890","390","1B","[1]"
"D4","OffPage","core","1","SCHEMATIC1","U1.8","870","550","1A","[2]"
"D4","OffPage","misc","2","SCHEMATIC1","J3.19","890","410","1B","[1]"
"D3","OffPage","core","1","SCHEMATIC1","U1.7","870","560","1A","[2]"
"D3","OffPage","misc","2","SCHEMATIC1","J3.18","890","420","1B","[1]"
"USB_DM","OffPage","core","1","SCHEMATIC1","U1.68","870","70","1D","[2]"
"USB_DM","OffPage","misc","2","SCHEMATIC1","J4.2","890","100","1D","[1]"
"USB_DP","OffPage","core","1","SCHEMATIC1","U1.69","870","60","1D","[2]"
"USB_DP","OffPage","misc","2","SCHEMATIC1","J4.3","890","90","1D","[1]"
"USB_ID","OffPage","core","1","SCHEMATIC1","U1.47","870","80","1D","[2]"
"USB_ID","OffPage","misc","2","SCHEMATIC1","J4.4,R9.1","890","110","1D","[1]"
"SDC0_D2","OffPage","core","1","SCHEMATIC1","U1.53","870","160","1D","[2]"
"SDC0_D2","OffPage","misc","2","SCHEMATIC1","J6.1,R21.2","890","190","1C","[1]"
"SDC0_CLK","OffPage","core","1","SCHEMATIC1","U1.56","870","130","1D","[2]"
"SDC0_CLK","OffPage","misc","2","SCHEMATIC1","J6.5","890","160","1D","[1]"
"SDC0_D1","OffPage","core","1","SCHEMATIC1","U1.58","870","110","1D","[2]"
"SDC0_D1","OffPage","misc","2","SCHEMATIC1","J6.8,R25.2","890","140","1D","[1]"
"SDC0_D3","OffPage","core","1","SCHEMATIC1","U1.54","870","150","1D","[2]"
"SDC0_D3","OffPage","misc","2","SCHEMATIC1","J6.2,R22.2","890","180","1C","[1]"
"SDC0_CMD","OffPage","core","1","SCHEMATIC1","U1.55","870","140","1D","[2]"
"SDC0_CMD","OffPage","misc","2","SCHEMATIC1","J6.3,R23.2","890","170","1C","[1]"
"SDC0_D0","OffPage","core","1","SCHEMATIC1","U1.57","870","120","1D","[2]"
"SDC0_D0","OffPage","misc","2","SCHEMATIC1","J6.7,R24.2","890","150","1D","[1]"
"UART0_TX","OffPage","core","1","SCHEMATIC1","U1.48","870","190","1C","[2]"
"UART0_TX","OffPage","misc","2","SCHEMATIC1","J5.1","890","220","1C","[1]"
"UART0_RX","OffPage","core","1","SCHEMATIC1","U1.49","870","180","1C","[2]"
"UART0_RX","OffPage","misc","2","SCHEMATIC1","J5.2","890","210","1C","[1]"
"SF_MISO","OffPage","core","1","SCHEMATIC1","U1.61","870","20","1D","[2]"
"SF_MISO","OffPage","misc","2","SCHEMATIC1","U2.2","890","50","1D","[1]"
"RTC_INT","OffPage","core","1","SCHEMATIC1","U1.39","870","280","1C","[2]"
"RTC_INT","OffPage","misc","2","SCHEMATIC1","R17.1,U3.3","890","20","1D","[1]"
"AGND","OffPage","core","1","SCHEMATIC1","U1.74,U1.82","870","220","1C","[3]"
"AGND","OffPage","power","3","SCHEMATIC1","C30.2,C31.2,R33.1,R34.1,R36.2","860","490","1B","[1]"
"VRA2","OffPage","core","1","SCHEMATIC1","U1.83","870","210","1C","[3]"
"VRA2","OffPage","power","3","SCHEMATIC1","C31.1,R34.2","860","480","1B","[1]"
"TE","OffPage","core","1","SCHEMATIC1","J1.16","870","320","1C","[2]"
"TE","OffPage","misc","2","SCHEMATIC1","J3.11","890","480","1B","[1]"
