Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"OSCI","OffPage","misc","2","SCHEMATIC1","C3.2,Y1.1","890","20","1D","[1]"
"OSCI","OffPage","core","1","SCHEMATIC1","U1.51","870","20","1D","[2]"
"SF_MOSI","OffPage","misc","2","SCHEMATIC1","U2.5","890","40","1D","[1]"
"SF_MOSI","OffPage","core","1","SCHEMATIC1","U1.62","870","40","1D","[2]"
"UART0_TX","OffPage","misc","2","SCHEMATIC1","","890","230","1C","[1]"
"UART0_TX","OffPage","core","1","SCHEMATIC1","U1.48","870","250","1C","Property Not Present"
"LED+","OffPage","power","3","SCHEMATIC1","C43.1,D1.1,U8.5","860","390","1B","[1]"
"LED+","OffPage","core","1","SCHEMATIC1","J1.2","870","460","1B","[3]"
"SDC0_CLK","OffPage","misc","2","SCHEMATIC1","J3.5","890","170","1C","[1]"
"SDC0_CLK","OffPage","core","1","SCHEMATIC1","U1.56","870","170","1C","[2]"
"PE7","OffPage","misc","2","SCHEMATIC1","","910","540","1A","[1]"
"PE7","OffPage","core","1","SCHEMATIC1","U1.42","880","550","1A","Property Not Present"
"SDC0_D3","OffPage","misc","2","SCHEMATIC1","J3.2,R6.2","890","190","1C","[1]"
"SDC0_D3","OffPage","core","1","SCHEMATIC1","U1.54","870","190","1C","[2]"
"TVOUT","OffPage","misc","2","SCHEMATIC1","","890","320","1C","[1]"
"TVOUT","OffPage","core","1","SCHEMATIC1","U1.72","870","330","1C","Property Not Present"
"UART0_RX","OffPage","misc","2","SCHEMATIC1","","890","220","1C","[1]"
"UART0_RX","OffPage","core","1","SCHEMATIC1","U1.49","870","240","1C","Property Not Present"
"PE3","OffPage","misc","2","SCHEMATIC1","","910","570","1A","[1]"
"PE3","OffPage","core","1","SCHEMATIC1","U1.46","880","580","1A","Property Not Present"
"SF_CS","OffPage","misc","2","SCHEMATIC1","R3.1,U2.1","890","60","1D","[1]"
"SF_CS","OffPage","core","1","SCHEMATIC1","U1.60","870","60","1D","[2]"
