Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"MIC_BIAS","OffPage","core","1","SCHEMATIC1","U1.95","1420","290","1C","[4]"
"MIC_BIAS","OffPage","misc","4","SCHEMATIC1","R32.1","860","40","1D","[1]"
"MIC_INP","OffPage","core","1","SCHEMATIC1","U1.97","1420","300","1C","[4]"
"MIC_INP","OffPage","misc","4","SCHEMATIC1","C45.2,C46.2,C49.1","860","50","1D","[1]"
"ISI_SCLK","OffPage","core","1","SCHEMATIC1","U1.23","1420","200","1D","[3]"
"ISI_SCLK","OffPage","lcd&isi","3","SCHEMATIC1","R15.1","870","450","1B","[1]"
"ISI_PCLK","OffPage","core","1","SCHEMATIC1","U1.22","1420","210","1D","[3]"
"ISI_PCLK","OffPage","lcd&isi","3","SCHEMATIC1","R16.1","870","460","1B","[1]"
"MIC_INN","OffPage","core","1","SCHEMATIC1","U1.98","1420","310","1C","[4]"
"MIC_INN","OffPage","misc","4","SCHEMATIC1","C46.1,C48.2,C50.1","860","60","1D","[1]"
"HPOUTL","OffPage","core","1","SCHEMATIC1","U1.102","1420","340","1C","[4]"
"HPOUTL","OffPage","misc","4","SCHEMATIC1","C40.1","860","90","1D","[1]"
"HPOUTR","OffPage","core","1","SCHEMATIC1","U1.101","1420","350","1C","[4]"
"HPOUTR","OffPage","misc","4","SCHEMATIC1","C41.2","860","100","1D","[1]"
"LRADC","OffPage","core","1","SCHEMATIC1","U1.40","1420","380","1C","[4]"
"LRADC","OffPage","misc","4","SCHEMATIC1","C39.1,R23.1,R25.1,SW3.4","860","130","1D","[1]"
"ND[0..7]","OffPage","core","1","SCHEMATIC1","","290","250","4C","[2]"
"ND[0..7]","OffPage","flash","2","SCHEMATIC1","","890","80","1D","[1,2]"
"ND[0..7]","OffPage","flash","2","SCHEMATIC1","","360","150","4D","[1,2]"
"NCLE","OffPage","core","1","SCHEMATIC1","U1.119","380","200","4D","[2]"
"NCLE","OffPage","flash","2","SCHEMATIC1","U2.16","890","110","1D","[1]"
"NALE","OffPage","core","1","SCHEMATIC1","U1.120","380","190","4D","[2]"
"NALE","OffPage","flash","2","SCHEMATIC1","U2.17","890","120","1D","[1]"
"ISI_SDA","OffPage","core","1","SCHEMATIC1","U1.48","1420","150","1D","[3]"
"ISI_SDA","OffPage","lcd&isi","3","SCHEMATIC1","J3.3,R20.2","870","390","1B","[1]"
"LVDATA[0..17]","OffPage","core","1","SCHEMATIC1","","930","410","2C","[3]"
"LVDATA[0..17]","OffPage","lcd&isi","3","SCHEMATIC1","","870","370","1B","[1]"
"LVD0","OffPage","lcd&isi","3","SCHEMATIC1","J2.23","600","180","2C","[1]"
"LVD1","OffPage","lcd&isi","3","SCHEMATIC1","J2.24","600","190","2C","[1]"
"LVD2","OffPage","lcd&isi","3","SCHEMATIC1","J2.25","600","200","2C","[1]"
"LVD3","OffPage","lcd&isi","3","SCHEMATIC1","J2.26","600","210","2C","[1]"
"LVD4","OffPage","lcd&isi","3","SCHEMATIC1","J2.27","600","220","2C","[1]"
"LVD5","OffPage","lcd&isi","3","SCHEMATIC1","J2.28","600","230","2C","[1]"
"LVD6","OffPage","lcd&isi","3","SCHEMATIC1","J2.15","600","110","2D","[1]"
"LVD7","OffPage","lcd&isi","3","SCHEMATIC1","J2.16","600","120","2D","[1]"
"LVD8","OffPage","lcd&isi","3","SCHEMATIC1","J2.17","600","130","2D","[1]"
"LVD9","OffPage","lcd&isi","3","SCHEMATIC1","J2.18","600","140","2D","[1]"
"LVD10","OffPage","lcd&isi","3","SCHEMATIC1","J2.19","600","150","2D","[1]"
"LVD11","OffPage","lcd&isi","3","SCHEMATIC1","J2.20","600","160","2D","[1]"
"LVD12","OffPage","lcd&isi","3","SCHEMATIC1","J2.7","600","40","2D","[1]"
"LVD13","OffPage","lcd&isi","3","SCHEMATIC1","J2.8","600","50","2D","[1]"
"LVD14","OffPage","lcd&isi","3","SCHEMATIC1","J2.9","600","60","2D","[1]"
"LVD15","OffPage","lcd&isi","3","SCHEMATIC1","J2.10","600","70","2D","[1]"
"SD_CD","OffPage","core","1","SCHEMATIC1","U1.115","380","240","4C","[2]"
"SD_CD","OffPage","flash","2","SCHEMATIC1","J1.9,R13.1","890","330","1C","[1]"
"SD_D2","OffPage","core","1","SCHEMATIC1","U1.1","870","660","3B","[2]"
"SD_D2","OffPage","flash","2","SCHEMATIC1","J1.1,RN1.4","890","280","1C","[1]"
"LVD16","OffPage","lcd&isi","3","SCHEMATIC1","J2.11","600","80","2D","[1]"
"SD_D3","OffPage","core","1","SCHEMATIC1","U1.2","870","650","3B","[2]"
"SD_D3","OffPage","flash","2","SCHEMATIC1","J1.2,RN1.3","890","290","1C","[1]"
"SD_CMD","OffPage","core","1","SCHEMATIC1","U1.3","870","640","3B","[2]"
"SD_CMD","OffPage","flash","2","SCHEMATIC1","J1.3,RN1.2","890","310","1C","[1]"
"LVD17","OffPage","lcd&isi","3","SCHEMATIC1","J2.12","600","90","2D","[1]"
"SD_CLK","OffPage","core","1","SCHEMATIC1","U1.4","870","630","3B","[2]"
"SD_CLK","OffPage","flash","2","SCHEMATIC1","R14.1","890","320","1C","[1]"
"SD_D0","OffPage","core","1","SCHEMATIC1","U1.5","870","620","3B","[2]"
"SD_D0","OffPage","flash","2","SCHEMATIC1","J1.7,RN1.1","890","260","1C","[1]"
"SD_D1","OffPage","core","1","SCHEMATIC1","U1.6","870","610","3B","[2]"
"SD_D1","OffPage","flash","2","SCHEMATIC1","J1.8,R12.1","890","270","1C","[1]"
"SPDAT[0..7]","OffPage","core","1","SCHEMATIC1","","930","580","2B","[3]"
"SPDAT[0..7]","OffPage","lcd&isi","3","SCHEMATIC1","","870","570","1A","[1]"
"SPD0","OffPage","lcd&isi","3","SCHEMATIC1","J3.19","600","250","2C","[1]"
"SPD1","OffPage","lcd&isi","3","SCHEMATIC1","J3.21","600","260","2C","[1]"
"SPD2","OffPage","lcd&isi","3","SCHEMATIC1","J3.22","600","270","2C","[1]"
"SPD3","OffPage","lcd&isi","3","SCHEMATIC1","J3.20","600","280","2C","[1]"
"UH_DM","OffPage","core","1","SCHEMATIC1","U1.45","1430","10","1D","[7]"
"UH_DM","OffPage","usb","7","SCHEMATIC1","J9.2","870","30","1D","[1]"
"UH_DP","OffPage","core","1","SCHEMATIC1","U1.44","1430","20","1D","[7]"
"UH_DP","OffPage","usb","7","SCHEMATIC1","J9.3","870","40","1D","[1]"
"SPD4","OffPage","lcd&isi","3","SCHEMATIC1","J3.18","600","290","2C","[1]"
"USB_DM","OffPage","core","1","SCHEMATIC1","U1.29","1430","40","1D","[7]"
"USB_DM","OffPage","usb","7","SCHEMATIC1","R54.2","870","60","1D","[1]"
"USB_DP","OffPage","core","1","SCHEMATIC1","U1.30","1430","50","1D","[7]"
"USB_DP","OffPage","usb","7","SCHEMATIC1","R55.2","870","70","1D","[1]"
"SPD5","OffPage","lcd&isi","3","SCHEMATIC1","J3.16","600","300","2C","[1]"
"USB_DET","OffPage","core","1","SCHEMATIC1","U1.9","1430","60","1D","[7]"
"USB_DET","OffPage","usb","7","SCHEMATIC1","R56.2","870","80","1D","[1]"
"SPD6","OffPage","lcd&isi","3","SCHEMATIC1","J3.14","600","310","2C","[1]"
"SPD7","OffPage","lcd&isi","3","SCHEMATIC1","J3.12","600","320","2C","[1]"
"ISI_SCL","OffPage","core","1","SCHEMATIC1","U1.47","1420","160","1D","[3]"
"ISI_SCL","OffPage","lcd&isi","3","SCHEMATIC1","J3.5,R19.2","870","400","1B","[1]"
"ISI_VSYNC","OffPage","core","1","SCHEMATIC1","U1.20","1420","170","1D","[3]"
"ISI_VSYNC","OffPage","lcd&isi","3","SCHEMATIC1","J3.7","870","420","1B","[1]"
"ISI_PWDN","OffPage","core","1","SCHEMATIC1","U1.19","1420","180","1D","[3]"
"ISI_PWDN","OffPage","lcd&isi","3","SCHEMATIC1","J3.8","870","430","1B","[1]"
"ISI_HSYNC","OffPage","core","1","SCHEMATIC1","U1.21","1420","190","1D","[3]"
"ISI_HSYNC","OffPage","lcd&isi","3","SCHEMATIC1","J3.9","870","440","1B","[1]"
"ETH_REFCLK","OffPage","core","1","SCHEMATIC1","U1.73","1420","420","1C","[5]"
"ETH_REFCLK","OffPage","net","5","SCHEMATIC1","U7.15","830","20","1D","[1]"
"ETH_TXD0","OffPage","core","1","SCHEMATIC1","U1.79","1420","430","1C","[5]"
"ETH_TXD0","OffPage","net","5","SCHEMATIC1","U7.16","830","30","1D","[1]"
"ETH_TXD1","OffPage","core","1","SCHEMATIC1","U1.80","1420","440","1C","[5]"
"ETH_TXD1","OffPage","net","5","SCHEMATIC1","U7.17","830","40","1D","[1]"
"ETH_TXEN","OffPage","core","1","SCHEMATIC1","U1.81","1420","450","1C","[5]"
"ETH_TXEN","OffPage","net","5","SCHEMATIC1","U7.20","830","50","1D","[1]"
"ETH_RXDV","OffPage","core","1","SCHEMATIC1","","1420","460","1C","[5]"
"ETH_RXDV","OffPage","net","5","SCHEMATIC1","R42.1,U7.8","830","60","1D","Property Not Present"
"ETH_RXD0","OffPage","core","1","SCHEMATIC1","U1.86","1420","470","1C","[5]"
"ETH_RXD0","OffPage","net","5","SCHEMATIC1","U7.9","830","70","1D","[1]"
"ETH_RXD1","OffPage","core","1","SCHEMATIC1","U1.87","1420","480","1B","[5]"
"ETH_RXD1","OffPage","net","5","SCHEMATIC1","U7.10","830","80","1D","[1]"
"NCS0","OffPage","core","1","SCHEMATIC1","U1.122","380","170","4D","[2]"
"NCS0","OffPage","flash","2","SCHEMATIC1","R11.1,U2.9","890","130","1D","[1]"
"ETH_INT","OffPage","core","1","SCHEMATIC1","U1.52","1420","490","1B","[5]"
"ETH_INT","OffPage","net","5","SCHEMATIC1","R36.1","830","90","1D","[1]"
"NBUSY0","OffPage","core","1","SCHEMATIC1","U1.116","380","230","4C","[2]"
"NBUSY0","OffPage","flash","2","SCHEMATIC1","R9.2,U2.7","890","140","1D","[1]"
"ETH_RXER","OffPage","core","1","SCHEMATIC1","U1.88","1420","500","1B","[5]"
"ETH_RXER","OffPage","net","5","SCHEMATIC1","R49.2,U7.28","830","100","1D","[1]"
"NWR","OffPage","core","1","SCHEMATIC1","U1.117","380","220","4D","[2]"
"NWR","OffPage","flash","2","SCHEMATIC1","U2.18","890","150","1D","[1]"
"ETH_CRS","OffPage","core","1","SCHEMATIC1","U1.85","1420","510","1B","[5]"
"ETH_CRS","OffPage","net","5","SCHEMATIC1","U7.26","830","110","1D","[1]"
"ETH_MDC","OffPage","core","1","SCHEMATIC1","U1.74","1420","520","1B","[5]"
"ETH_MDC","OffPage","net","5","SCHEMATIC1","U7.22","830","120","1D","[1]"
"NRE","OffPage","core","1","SCHEMATIC1","U1.118","380","210","4D","[2]"
"NRE","OffPage","flash","2","SCHEMATIC1","U2.8","890","160","1D","[1]"
"ETH_MDIO","OffPage","core","1","SCHEMATIC1","U1.78","1420","530","1B","[5]"
"ETH_MDIO","OffPage","net","5","SCHEMATIC1","R44.1,U7.23","830","130","1D","[1]"
"ETH_RESET","OffPage","core","1","SCHEMATIC1","C16.1,Q1.3,R7.1,SW2.4,U1.51","1420","540","1B","[3,5]"
"ETH_RESET","OffPage","net","5","SCHEMATIC1","R37.1","830","140","1D","[1,3]"
"NRESET","OffPage","core","1","SCHEMATIC1","C16.1,Q1.3,R7.1,SW2.4,U1.51","1420","220","1D","[3,5]"
"NRESET","OffPage","lcd&isi","3","SCHEMATIC1","J3.6","870","410","1B","[1,5]"
"LPCLK","OffPage","core","1","SCHEMATIC1","U1.76","1420","90","1D","[3]"
"LPCLK","OffPage","lcd&isi","3","SCHEMATIC1","J2.30","850","50","1D","[1]"
"LHSYNC","OffPage","core","1","SCHEMATIC1","U1.75","1420","100","1D","[3]"
"LHSYNC","OffPage","lcd&isi","3","SCHEMATIC1","J2.32","850","60","1D","[1]"
"SF_CS","OffPage","core","1","SCHEMATIC1","U1.77","890","160","3D","[2]"
"SF_CS","OffPage","flash","2","SCHEMATIC1","U3.1","890","190","1C","[1]"
"LVSYNC","OffPage","core","1","SCHEMATIC1","U1.49","1420","110","1D","[3]"
"LVSYNC","OffPage","lcd&isi","3","SCHEMATIC1","J2.33","850","70","1D","[1]"
"LVDE","OffPage","core","1","SCHEMATIC1","U1.50","1420","120","1D","[3]"
"LVDE","OffPage","lcd&isi","3","SCHEMATIC1","J2.34","850","80","1D","[1]"
"SF_DO","OffPage","core","1","SCHEMATIC1","U1.124","870","230","3C","[2]"
"SF_DO","OffPage","flash","2","SCHEMATIC1","U3.2","890","200","1C","[1]"
"BL_ADJ","OffPage","core","1","SCHEMATIC1","U1.125","1420","130","1D","[3]"
"BL_ADJ","OffPage","lcd&isi","3","SCHEMATIC1","R22.1,U4.4","850","180","1C","[1]"
"NCS1","OffPage","core","1","SCHEMATIC1","U1.121","380","180","4D","[2]"
"NCS1","OffPage","flash","2","SCHEMATIC1","U3.7","890","210","1C","[1]"
"DEBUG_TX","OffPage","core","1","SCHEMATIC1","U1.104","1410","570","1B","[4]"
"DEBUG_TX","OffPage","misc","4","SCHEMATIC1","J6.1","860","200","1C","[1]"
"GPG7","OffPage","core","1","SCHEMATIC1","U1.38","1400","600","1B","[4]"
"GPG7","OffPage","misc","4","SCHEMATIC1","R31.1","860","240","1C","[1]"
"SF_CLK","OffPage","core","1","SCHEMATIC1","U1.127","870","200","3D","[2]"
"SF_CLK","OffPage","flash","2","SCHEMATIC1","U3.6","890","220","1C","[1]"
"DEBUG_RX","OffPage","core","1","SCHEMATIC1","U1.105","1410","580","1B","[4]"
"DEBUG_RX","OffPage","misc","4","SCHEMATIC1","J6.2","860","210","1C","[1]"
"SF_DI","OffPage","core","1","SCHEMATIC1","U1.126","870","210","3D","[2]"
"SF_DI","OffPage","flash","2","SCHEMATIC1","U3.5","890","230","1C","[1]"
"TP_XM","OffPage","core","1","SCHEMATIC1","U1.34","370","630","4B","[3]"
"TP_XM","OffPage","lcd&isi","3","SCHEMATIC1","J2.39","850","20","1D","[1]"
"TP_YM","OffPage","core","1","SCHEMATIC1","U1.35","370","620","4B","[3]"
"TP_YM","OffPage","lcd&isi","3","SCHEMATIC1","J2.40","850","30","1D","[1]"
"TP_XP","OffPage","core","1","SCHEMATIC1","U1.36","370","610","4B","[3]"
"TP_XP","OffPage","lcd&isi","3","SCHEMATIC1","J2.37","850","0","1D","[1]"
"TP_YP","OffPage","core","1","SCHEMATIC1","U1.37","370","600","4B","[3]"
"TP_YP","OffPage","lcd&isi","3","SCHEMATIC1","J2.38","850","10","1D","[1]"
